500;2;0.003000;747;504;3;1;2;65.876155;65.876155;
1020500;3;9.388000;3048959;1036837;8033;126;8032;50.205772;50.212036;49.814191;
1030500;3;9.581000;3079599;1047201;8114;127;8113;50.202970;50.207554;49.918783;
1040500;3;9.650000;3109473;1057304;8192;128;8191;50.205929;50.209244;50.003122;
1050500;4;9.742000;3141083;1067411;8270;132;8269;50.202710;50.210902;49.696483;
1060500;4;9.856000;3180882;1077509;8348;133;8347;50.205480;50.212296;49.785278;
1070500;4;9.918000;3220701;1087614;8427;134;8426;50.202650;50.207937;49.878657;
1080500;4;10.029000;3261541;1097976;8507;135;8506;50.205817;50.209603;49.976522;
1090500;4;10.135000;3301360;1108081;8585;137;8584;50.202948;50.211197;49.693173;
1100500;4;10.329000;3341179;1118186;8664;138;8663;50.200219;50.206966;49.784500;
1110500;4;10.284000;3380998;1128289;8742;139;8741;50.203104;50.208555;49.868794;
1120500;4;10.501000;3421838;1138651;8822;140;8821;50.206154;50.210156;49.963210;
1130500;4;10.701000;3461657;1148758;8901;142;8900;50.197917;50.206048;49.695683;
1140500;4;10.861000;3501476;1158861;8979;143;8978;50.200749;50.207606;49.778231;
1150500;4;10.875000;3541295;1168964;9057;144;9056;50.203529;50.209134;49.859621;
1160500;4;10.953000;3581114;1179067;9135;145;9134;50.206262;50.210636;49.939887;
1170500;4;11.062000;3621954;1189431;9216;146;9215;50.203874;50.206702;50.035335;
1180500;4;11.214000;3661773;1199536;9294;148;9293;50.201240;50.208199;49.772388;
1190500;4;11.544000;3701592;1209639;9372;149;9371;50.203923;50.209670;49.851068;
1200500;4;11.702000;3741411;1219744;9451;150;9450;50.201413;50.205805;49.933980;
1210500;4;11.671000;3781431;1229895;9529;151;9528;50.206013;50.209266;50.010540;
1220500;4;11.628000;3822271;1240261;9610;153;9609;50.198579;50.205502;49.772111;
1230500;4;11.988000;3862090;1250364;9688;154;9687;50.201199;50.206951;49.848221;
1240500;4;11.949000;3901909;1260467;9766;155;9765;50.203774;50.208373;49.923346;
1250500;4;12.060000;3941728;1270572;9845;156;9844;50.201366;50.204672;50.002583;
1260500;4;12.218000;3981547;1280677;9923;158;9922;50.198918;50.206090;49.756802;
1270500;4;12.197000;4022387;1291039;10003;159;10002;50.201641;50.207522;49.840570;
1280500;4;12.285000;4062206;1301144;10082;160;10081;50.199306;50.203915;49.918334;
1290500;4;12.471000;4102025;1311247;10160;161;10159;50.201796;50.205306;49.990204;
1300500;4;12.772000;4141844;1321350;10238;162;10237;50.204253;50.206678;50.061181;
1310500;4;12.780000;4181663;1331455;10316;164;10315;50.201874;50.208026;49.823727;
1320500;4;12.937000;4222503;1341819;10397;165;10396;50.199792;50.204557;49.908825;
1330500;4;12.999000;4262322;1351922;10475;166;10474;50.202209;50.205907;49.978575;
1340500;4;13.233000;4302141;1362025;10553;167;10552;50.204584;50.207228;50.047481;
1350500;4;13.320000;4341960;1372132;10632;169;10631;50.197708;50.203813;49.821946;
1360500;4;13.453000;4382800;1382494;10712;170;10711;50.200263;50.205167;49.899876;
1370500;4;13.586000;4422019;1392444;10789;171;10788;50.201672;50.205591;49.963000;
1380500;4;13.943000;4462859;1402806;10869;172;10868;50.204155;50.206913;50.039194;
1390500;4;14.419000;4502678;1412913;10948;174;10947;50.197481;50.203593;49.820267;
1400500;4;14.805000;4542497;1423016;11026;175;11025;50.199788;50.204879;49.886921;
1410500;4;15.693000;4582316;1433119;11104;176;11103;50.202074;50.206148;49.952807;
1420500;4;14.628000;4622135;1443224;11183;177;11182;50.199963;50.202903;50.022422;
1430500;4;14.738000;4662975;1453586;11263;178;11262;50.202377;50.204197;50.095703;
1440500;4;14.894000;4702794;1463691;11341;180;11340;50.200233;50.205444;49.879086;
1450500;4;15.195000;4742613;1473796;11420;181;11419;50.198184;50.202271;49.947564;
1460500;4;15.252000;4782432;1483899;11498;182;11497;50.200397;50.203514;50.010931;
1470500;4;16.118000;4822251;1494002;11576;183;11575;50.202575;50.204734;50.073607;
1480500;4;16.082000;4863091;1504368;11657;185;11656;50.196478;50.201665;49.875961;
1490500;4;15.869000;4902910;1514471;11735;186;11734;50.198658;50.202887;49.938345;
1500500;4;16.534000;4942729;1524574;11813;187;11812;50.200803;50.204087;50.000058;
1510500;4;15.667000;4982548;1534677;11891;188;11890;50.202926;50.205276;50.061116;
1520500;4;15.776000;5023388;1545043;11972;190;11971;50.196987;50.202284;49.868825;
1530500;4;15.591000;5063207;1555146;12050;191;12049;50.199106;50.203470;49.929610;
1540500;4;15.598000;5102646;1565152;12127;192;12126;50.202153;50.205677;49.985633;
1550500;4;15.860000;5143486;1575516;12208;193;12207;50.200383;50.202741;50.057475;
1560500;4;16.019000;5183305;1585619;12286;194;12285;50.202445;50.203901;50.116332;
1570500;4;16.194000;5223124;1595726;12364;197;12363;50.196417;50.205046;49.658587;
1580500;4;16.334000;5262943;1605831;12443;198;12442;50.194561;50.202137;49.722275;
1590500;4;16.709000;5302762;1615934;12521;199;12520;50.196610;50.203278;49.781344;
1600500;4;16.723000;5343602;1626296;12601;200;12600;50.198794;50.204433;49.847730;
1610500;4;17.137000;5383421;1636403;12680;202;12679;50.193056;50.201582;49.661211;
1620500;4;16.828000;5423240;1646506;12758;203;12757;50.195086;50.202706;49.719407;
1630500;4;16.666000;5463059;1656609;12836;204;12835;50.197077;50.203812;49.777036;
1640500;4;17.166000;5503899;1666971;12916;205;12915;50.199204;50.204935;49.841816;
